產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHB00125,卡片徽章組（3個一組）,個,NTD,新台幣,7,238.0000,238.0000,"1,666","1,750"
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,166,379.8554,379.8554,"63,056","66,214"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,2,143.0000,143.0000,286,300
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,9,94.0000,94.0000,846,891
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,17,276.0000,276.0000,"4,692","4,930"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,4,332.7500,332.7500,"1,331","1,400"
HUKHB00725,壓克力場景組 B款（統治者的祝福）,個,NTD,新台幣,1,334.0000,334.0000,334,350
HUKHB00825,角色壓克力立牌 (小傑款）,個,NTD,新台幣,4,210.0000,210.0000,840,880
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,18,209.7222,209.7222,"3,775","3,960"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,15,209.9333,209.9333,"3,149","3,300"
HUKHB01125,角色壓克力立牌 (比司吉款）,個,NTD,新台幣,4,209.7500,209.7500,839,880
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,36,238.0278,238.0278,"8,569","9,000"
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,18,428.7222,428.7222,"7,717","8,100"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,2,276.0000,276.0000,552,580
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,10,275.9000,275.9000,"2,759","2,900"
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,23,238.0435,238.0435,"5,475","5,750"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,49,95.1429,95.1429,"4,662","4,900"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,27,113.9630,113.9630,"3,077","3,234"
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,81,142.9259,142.9259,"11,577","12,150"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,974,142.8737,142.8737,"139,159","146,063"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,76,142.9211,142.9211,"10,862","11,400"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,11,819.8182,819.8182,"9,018","9,469"
HUKHB02825,角色抱枕 (小傑款）,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,6,429.0000,429.0000,"2,574","2,700"
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,16,752.1250,752.1250,"12,034","12,640"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,7,"1,247.0000","1,247.0000","8,729","9,168"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,12,561.9167,561.9167,"6,743","7,080"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,50,190.4000,190.4000,"9,520","10,000"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,10,238.0000,238.0000,"2,380","2,500"
HUKHC00226,獵人購物袋(淺藍),個,NTD,新台幣,37,84.9730,84.9730,"3,144","3,293"
HUKHC00326,獵人購物袋(深藍),個,NTD,新台幣,19,85.0000,85.0000,"1,615","1,691"
HUKHD00126,HunterxHunter T-shirt - L款,個,NTD,新台幣,4,847.7500,847.7500,"3,391","3,560"
HUKHD00225,獵人識別證套（藍色星球）,個,NTD,新台幣,4,267.0000,267.0000,"1,068","1,120"
HUKHD00226,HunterxHunter T-shirt - 2XL款,個,NTD,新台幣,2,847.5000,847.5000,"1,695","1,780"
HUKHD00325,獵人識別證套（聖騎士的首飾）,個,NTD,新台幣,5,267.0000,267.0000,"1,335","1,400"
HUKHD00326,磁吸式手機支架(隨機單入),個,NTD,新台幣,13,342.9231,342.9231,"4,458","4,680"
HUKHD00425,獵人識別證套（一坪海岸線）,個,NTD,新台幣,2,267.0000,267.0000,534,560
HUKHD00526,角色手機掛繩 - 小傑款,個,NTD,新台幣,2,429.0000,429.0000,858,900
HUKHD00626,角色手機掛繩 - 奇犽款,個,NTD,新台幣,4,428.7500,428.7500,"1,715","1,800"
HUKHD00826,角色手機掛繩 - 西索款,個,NTD,新台幣,2,428.5000,428.5000,857,900
HUKHD01026,貪婪之島行李箱貼紙,個,NTD,新台幣,5,333.2000,333.2000,"1,666","1,750"
HUKHD01126,壓克力吊飾(扭蛋),個,NTD,新台幣,9,142.8889,142.8889,"1,286","1,350"
HUKHD01226,卡片相片機(阿拉丁),個,NTD,新台幣,58,47.6207,47.6207,"2,762","2,900"
HUKHD02226,鎖鏈之鑰匙圈-HunterA款,個,NTD,新台幣,3,429.0000,429.0000,"1,287","1,350"
HUKHD02626,人物造型壓克力立牌-HunterD款(彼多),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD02926,潮流全彩T-shirt(制約誓約)-Hunter_M,個,NTD,新台幣,3,742.6667,742.6667,"2,228","2,340"
