產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHA00526,單人票,個,NTD,新台幣,22,752.3636,752.3636,"16,552","17,380"
HUKHA00626,三人票,個,NTD,新台幣,5,"2,143.0000","2,143.0000","10,715","11,250"
HUKHA00726,愛心票,個,NTD,新台幣,6,376.0000,376.0000,"2,256","2,370"
HUKHB00125,卡片徽章組（3個一組）,個,NTD,新台幣,7,238.0000,238.0000,"1,666","1,750"
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,426,379.9601,379.9601,"161,863","169,974"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,10,143.0000,143.0000,"1,430","1,500"
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,14,94.0714,94.0714,"1,317","1,386"
HUKHB00425,風險骰子,個,NTD,新台幣,287,457.0801,457.0801,"131,182","137,762"
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,25,276.0400,276.0400,"6,901","7,250"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,3,333.0000,333.0000,999,"1,050"
HUKHB00725,壓克力場景組 B款（統治者的祝福）,個,NTD,新台幣,5,332.8000,332.8000,"1,664","1,750"
HUKHB00825,角色壓克力立牌 (小傑款）,個,NTD,新台幣,6,209.8333,209.8333,"1,259","1,320"
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,36,209.8333,209.8333,"7,554","7,920"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,15,210.0000,210.0000,"3,150","3,300"
HUKHB01125,角色壓克力立牌 (比司吉款）,個,NTD,新台幣,3,210.0000,210.0000,630,660
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,55,238.0000,238.0000,"13,090","13,750"
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,54,428.8148,428.8148,"23,156","24,300"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,11,276.0000,276.0000,"3,036","3,190"
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,7,276.0000,276.0000,"1,932","2,030"
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,16,237.9375,237.9375,"3,807","4,000"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,39,95.1026,95.1026,"3,709","3,900"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,22,114.2727,114.2727,"2,514","2,640"
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,97,142.9278,142.9278,"13,864","14,550"
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,個,NTD,新台幣,158,209.7025,209.7025,"33,133","34,760"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,567,142.9012,142.9012,"81,025","85,050"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,57,142.9123,142.9123,"8,146","8,550"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,20,766.4500,766.4500,"15,329","16,090"
HUKHB02825,角色抱枕 (小傑款）,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,11,428.8182,428.8182,"4,717","4,950"
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,14,751.9286,751.9286,"10,527","11,060"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,25,"1,214.0000","1,214.0000","30,350","31,871"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,26,562.0769,562.0769,"14,614","15,340"
