產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHA00726,愛心票,個,NTD,新台幣,0,0.0000,0.0000,0,0
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,27,379.3704,379.3704,"10,243","10,753"
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,1,94.0000,94.0000,94,99
HUKHB00425,風險骰子,個,NTD,新台幣,18,454.5556,454.5556,"8,182","8,592"
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,2,276.0000,276.0000,552,580
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,2,333.0000,333.0000,666,700
HUKHB00725,壓克力場景組 B款（統治者的祝福）,個,NTD,新台幣,1,332.0000,332.0000,332,350
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,3,210.0000,210.0000,630,660
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,2,238.5000,238.5000,477,500
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,2,429.0000,429.0000,858,900
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,5,238.0000,238.0000,"1,190","1,250"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,3,95.0000,95.0000,285,300
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,3,110.3333,110.3333,331,348
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,8,142.8750,142.8750,"1,143","1,200"
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,個,NTD,新台幣,11,208.9091,208.9091,"2,298","2,409"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,31,142.8710,142.8710,"4,429","4,650"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,10,142.9000,142.9000,"1,429","1,500"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,2,746.0000,746.0000,"1,492","1,566"
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,1,752.0000,752.0000,752,790
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,5,"1,238.8000","1,238.8000","6,194","6,503"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,4,555.0000,555.0000,"2,220","2,331"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,25,190.2400,190.2400,"4,756","5,000"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,2,238.5000,238.5000,477,500
HUKHD00126,HunterxHunter T-shirt - L款,個,NTD,新台幣,1,848.0000,848.0000,848,890
HUKHD00226,HunterxHunter T-shirt - 2XL款,個,NTD,新台幣,1,848.0000,848.0000,848,890
HUKHD00326,磁吸式手機支架(隨機單入),個,NTD,新台幣,3,343.0000,343.0000,"1,029","1,080"
HUKHD00826,角色手機掛繩 - 西索款,個,NTD,新台幣,1,407.0000,407.0000,407,428
