產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHB00125,卡片徽章組（3個一組）,個,NTD,新台幣,4,238.0000,238.0000,952,"1,000"
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,288,379.8090,379.8090,"109,385","114,872"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,2,143.0000,143.0000,286,300
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,7,94.0000,94.0000,658,693
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,21,276.0476,276.0476,"5,797","6,090"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,2,333.0000,333.0000,666,700
HUKHB00725,壓克力場景組 B款（統治者的祝福）,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHB00825,角色壓克力立牌 (小傑款）,個,NTD,新台幣,2,210.0000,210.0000,420,440
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,15,209.8000,209.8000,"3,147","3,300"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,10,209.9000,209.9000,"2,099","2,200"
HUKHB01125,角色壓克力立牌 (比司吉款）,個,NTD,新台幣,2,210.0000,210.0000,420,440
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,29,238.0000,238.0000,"6,902","7,250"
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,24,428.8333,428.8333,"10,292","10,800"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,4,276.0000,276.0000,"1,104","1,160"
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,8,276.0000,276.0000,"2,208","2,320"
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,9,238.1111,238.1111,"2,143","2,250"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,76,95.1316,95.1316,"7,230","7,600"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,12,114.0833,114.0833,"1,369","1,440"
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,55,143.0000,143.0000,"7,865","8,250"
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,個,NTD,新台幣,259,209.5290,209.5290,"54,268","56,958"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,"1,058",142.8970,142.8970,"151,185","158,701"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,30,142.9333,142.9333,"4,288","4,500"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,13,785.0769,785.0769,"10,206","10,714"
HUKHB02825,角色抱枕 (小傑款）,個,NTD,新台幣,2,428.5000,428.5000,857,900
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,5,428.8000,428.8000,"2,144","2,250"
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,9,752.2222,752.2222,"6,770","7,110"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,12,"1,209.7500","1,209.7500","14,517","15,247"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,14,562.0000,562.0000,"7,868","8,260"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,50,190.3000,190.3000,"9,515","10,000"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,8,238.0000,238.0000,"1,904","2,000"
HUKHD00125,名牌壓克力吊飾,個,NTD,新台幣,6,190.3333,190.3333,"1,142","1,200"
HUKHD00126,HunterxHunter T-shirt - L款,個,NTD,新台幣,3,847.6667,847.6667,"2,543","2,670"
