產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHB00125,卡片徽章組（3個一組）,個,NTD,新台幣,5,238,238,1190,1250
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,241,379.9004,379.9004,91556,96140
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,5,143,143,715,750
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,14,94.1429,94.1429,1318,1386
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,17,276,276,4692,4930
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,2,333,333,666,700
HUKHB00725,壓克力場景組 B款（統治者的祝福）,個,NTD,新台幣,2,333,333,666,700
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,14,209.9286,209.9286,2939,3080
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,11,209.7273,209.7273,2307,2420
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,49,238,238,11662,12250
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,31,428.8065,428.8065,13293,13950
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,6,276,276,1656,1740
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,7,275.5714,275.5714,1929,2030
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,12,238,238,2856,3000
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,65,95.1077,95.1077,6182,6500
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,38,114.0789,114.0789,4335,4554
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,79,142.9747,142.9747,11295,11850
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,個,NTD,新台幣,77,209.5455,209.5455,16135,16929
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,1134,142.9012,142.9012,162050,170101
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,23,142.8696,142.8696,3286,3450
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,12,796.8333,796.8333,9562,10040
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,3,429,429,1287,1350
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,23,752.0435,752.0435,17297,18170
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,9,1209.8889,1209.8889,10889,11432
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,13,562,562,7306,7670
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,50,190.44,190.44,9522,10000
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,8,238.125,238.125,1905,2000
HUKHD00125,名牌壓克力吊飾,個,NTD,新台幣,5,188.2,188.2,941,990
HUKHD00126,HunterxHunter T-shirt - L款,個,NTD,新台幣,2,847.5,847.5,1695,1780
HUKHD00225,獵人識別證套（藍色星球）,個,NTD,新台幣,7,266.8571,266.8571,1868,1960
HUKHD00226,HunterxHunter T-shirt - 2XL款,個,NTD,新台幣,1,847,847,847,890
HUKHD00325,獵人識別證套（聖騎士的首飾）,個,NTD,新台幣,8,267,267,2136,2240
HUKHD00326,磁吸式手機支架(隨機單入),個,NTD,新台幣,12,342.75,342.75,4113,4320
HUKHD00425,獵人識別證套（一坪海岸線）,個,NTD,新台幣,5,267,267,1335,1400
HUKHD00526,角色手機掛繩 - 小傑款,個,NTD,新台幣,1,429,429,429,450
HUKHD00626,角色手機掛繩 - 奇犽款,個,NTD,新台幣,2,429,429,858,900
HUKHD00826,角色手機掛繩 - 西索款,個,NTD,新台幣,1,428,428,428,450
HUKHD00926,獵人執照行李識別證套,個,NTD,新台幣,21,371.0952,371.0952,7793,8190
HUKHD01026,貪婪之島行李箱貼紙,個,NTD,新台幣,8,333,333,2664,2800
HUKHD01126,壓克力吊飾(扭蛋),個,NTD,新台幣,1,143,143,143,150
HUKHD01226,卡片相片機(阿拉丁),個,NTD,新台幣,44,47.6136,47.6136,2095,2200
HUKHD02026,貪婪之島壓克力卡片組-HunterA款(綜),個,NTD,新台幣,103,190.2524,190.2524,19596,20590
HUKHD02126,BOOK收藏冊-HunterA款,個,NTD,新台幣,1,1600,1600,1600,1680
HUKHD02226,鎖鏈之鑰匙圈-HunterA款,個,NTD,新台幣,11,428.9091,428.9091,4718,4950
HUKHD02526,人物造型壓克力立牌-HunterC款(蟻王),個,NTD,新台幣,1,210,210,210,220
HUKHD02626,人物造型壓克力立牌-HunterD款(彼多),個,NTD,新台幣,2,210,210,420,440
HUKHD02726,壓克力燈座-HunterA款(奇犽),個,NTD,新台幣,12,618.9167,618.9167,7427,7800
HUKHD02926,潮流全彩T-shirt(制約誓約)-Hunter_M,個,NTD,新台幣,1,743,743,743,780
HUKHD03626,壓克力鑰匙圈-HunterA款(小傑),個,NTD,新台幣,3,129,129,387,405
HUKHD03726,拉霸吊飾鑰匙圈-HunterA款(小傑),個,NTD,新台幣,1,400,400,400,420
HUKHD03926,垂墜式壓克力鑰匙圈-HunterB款(酷拉皮卡+雷歐力),個,NTD,新台幣,1,171,171,171,180
HUKHD04726,B6筆記本-HunterA款,個,NTD,新台幣,5,190,190,950,1000
HUKHD05126,木棉花福袋-A款,個,NTD,新台幣,2,1714.5,1714.5,3429,3600
HUKHD06226,潮流全彩T-shirt(拿酷戮)-Hunter_S,個,NTD,新台幣,1,743,743,743,780
HUKHD07326,透明小海報(2入)-Hunter_A款(傑+奇),個,NTD,新台幣,11,143,143,1573,1650
HUKHD07426,透明小海報(2入)-Hunter_B款(酷+雷),個,NTD,新台幣,1,143,143,143,150
