產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHB00125,卡片徽章組（3個一組）,個,NTD,新台幣,5,238.0000,238.0000,"1,190","1,250"
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,199,379.9799,379.9799,"75,616","79,402"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,6,143.0000,143.0000,858,900
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,8,94.0000,94.0000,752,792
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,27,276.0370,276.0370,"7,453","7,830"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,3,333.0000,333.0000,999,"1,050"
HUKHB00725,壓克力場景組 B款（統治者的祝福）,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,15,209.9333,209.9333,"3,149","3,300"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,9,210.0000,210.0000,"1,890","1,980"
HUKHB01125,角色壓克力立牌 (比司吉款）,個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,35,238.0286,238.0286,"8,331","8,750"
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,7,428.8571,428.8571,"3,002","3,150"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,3,276.0000,276.0000,828,870
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,8,276.0000,276.0000,"2,208","2,320"
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,26,237.9615,237.9615,"6,187","6,500"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,50,95.0600,95.0600,"4,753","5,000"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,20,113.9500,113.9500,"2,279","2,394"
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,60,142.9167,142.9167,"8,575","9,000"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,741,142.9163,142.9163,"105,901","111,150"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,11,143.0000,143.0000,"1,573","1,650"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,13,777.2308,777.2308,"10,104","10,607"
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,8,428.7500,428.7500,"3,430","3,600"
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,12,752.3333,752.3333,"9,028","9,480"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,13,"1,205.8462","1,205.8462","15,676","16,463"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,11,562.0000,562.0000,"6,182","6,490"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,50,190.2600,190.2600,"9,513","10,000"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,8,238.0000,238.0000,"1,904","2,000"
