產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHB00125,卡片徽章組（3個一組）,個,NTD,新台幣,1,238.0000,238.0000,238,250
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,145,379.9655,379.9655,"55,095","57,855"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,4,143.0000,143.0000,572,600
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,11,94.0909,94.0909,"1,035","1,089"
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,20,275.9500,275.9500,"5,519","5,800"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,2,333.0000,333.0000,666,700
HUKHB00725,壓克力場景組 B款（統治者的祝福）,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,19,210.0000,210.0000,"3,990","4,180"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,11,209.8182,209.8182,"2,308","2,420"
HUKHB01125,角色壓克力立牌 (比司吉款）,個,NTD,新台幣,2,210.0000,210.0000,420,440
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,21,238.0000,238.0000,"4,998","5,250"
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,15,428.5333,428.5333,"6,428","6,750"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,2,276.0000,276.0000,552,580
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,7,275.8571,275.8571,"1,931","2,030"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,21,95.0476,95.0476,"1,996","2,100"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,15,114.3333,114.3333,"1,715","1,800"
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,59,142.9153,142.9153,"8,432","8,850"
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,個,NTD,新台幣,149,209.4631,209.4631,"31,210","32,758"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,874,142.7071,142.7071,"124,726","130,931"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,33,142.9394,142.9394,"4,717","4,950"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,11,801.2727,801.2727,"8,814","9,255"
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,3,428.6667,428.6667,"1,286","1,350"
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,12,752.1667,752.1667,"9,026","9,480"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,11,"1,243.0000","1,243.0000","13,673","14,360"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,14,562.0000,562.0000,"7,868","8,260"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,50,190.3000,190.3000,"9,515","10,000"
HUKHB03425,貪婪之島集卡冊組合包,組,NTD,新台幣,16,809.5000,809.5000,"12,952","13,600"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,6,238.0000,238.0000,"1,428","1,500"
HUKHC00226,獵人購物袋(淺藍),個,NTD,新台幣,68,84.9412,84.9412,"5,776","6,048"
HUKHC00326,獵人購物袋(深藍),個,NTD,新台幣,4,85.0000,85.0000,340,356
HUKHD00126,HunterxHunter T-shirt - L款,個,NTD,新台幣,4,848.2500,848.2500,"3,393","3,560"
HUKHD00225,獵人識別證套（藍色星球）,個,NTD,新台幣,4,267.0000,267.0000,"1,068","1,120"
